Question,Answer
"Gender","Male"
"What gender do you identify as?","Male"
"Are you currently eligible to work in the USA?","Yes"
"Are you located in the U.S.?","Yes"
"This role requires candidates to be in our Cupertino offices 50% of the time. Are you able to meet that requirement?","No"
"Will you now, or in the future, require sponsorship to legally work in the U.S.?","Yes"
"Are you open to a hybrid schedule based in the SF Bay Area?","No"
"Are you authorized to work in the United States?","No"
"Describe your experience with Python and which libraries you use during your day-to-day","I have 6 months of experience with Python. I frequently use libraries like Pandas, NumPy, and Matplotlib for data analysis and visualization."
"Describe your experience with Azure and which features you have worked with professionally","I have 4 years of experience working with Microsoft Azure. I have extensively used Azure Virtual Machines, Azure Storage, Azure SQL Database, and Azure Kubernetes Service (AKS). I have also worked with Azure DevOps for CI/CD pipelines and Azure Monitor for logging and monitoring."
"Woven by Toyota conducts a pre-employment background check. Do you acknowledge this?","I acknowledge"
"Please review and acknowledge you read and understood the non-disclosure agreement","I acknowledge"
"Describe your experience with OOP best practices","I have extensive experience with Object-Oriented Programming (OOP) best practices. I follow principles such as SOLID to write clean, maintainable, and scalable code."
"Please let us know which state you reside in.","California"
"Required sponsorship for employment visa status","No"
"Do you agree to the handling of your personal data as described in the privacy notice?","I acknowledge"
"Will you still be in school during the internship program?","No"
"Please select your current level of education.","Bachelor's Degree"
"I identify my race/ethnicity as","I do not wish to answer"
"For export compliance, list any countries of which you are a citizen or legal resident.","Canada – Legal Permanent Resident since March 15, 2015"
"How did you hear about us?","LinkedIn"
"It's a coding-heavy position, are you a highly proficient coder?","Yes"
"Why do you want to join CentML?","I am passionate about the intersection of machine learning and healthcare, and CentML's mission aligns perfectly with my career aspirations. I am excited about the opportunity to work with a team that is at the forefront of AI-driven technologies."
"What technical expertise makes you a good candidate for this position?","My background includes extensive experience in machine learning model development and deployment. I have a deep understanding of TensorFlow and PyTorch and hands-on experience with large datasets."
"Do you identify as a Protected Veteran defined as one of the following: Disabled veteran; Recently separated veteran; Active wartime or campaign badge veteran; Armed Forces service medal veteran?","I decline to answer"
"Do you consider yourself a member of the Lesbian, Gay, Bisexual and/or Transgender, Queer and Questioning (LGBTQ) community?","No"
"Will you now, or in the future, require sponsorship (i.e. H-1B visa, etc.) to legally work in the U.S.?","No"
"At which University did you complete your last Major?","peri kdskncd"
"What was your GPA?","8.7"
"If hired by StackAdapt, do you intend to hold any secondary employment, advisory position (e.g. membership on a board of directors), or volunteer position that (1) is on behalf of a business that would be competitive in nature to the business of StackAdapt, (2) conflict with your ability to perform your duties at StackAdapt, or (3) conflict with your working hours at StackAdapt","Yes"
"What are your salary expectations (Annually)?","4L"
"Will you require visa sponsorship, now or in the future?","Yes"
"We work with complex probabilities and randomness, are you comfortable with probabilistic reasoning?","Yes"
"Have you taken an undergraduate data structures and algorithms course and achieved at least a B+ (77%)?","Yes"
"What was your last Major?","Computer Science"
"What ethnicity do you identify as?","Indian"
"Woven by Toyota conducts a thorough pre-employment background check...","I acknowledge"
"Please review and acknowledge you read and understood the non-disclosure agreement...","I acknowledge"
"Which country are you from?","India"
"What is your sexual orientation?","Prefer not to say"
"Are you legally entitled to work in Canada or the United States?","No i dont "
"Will you now or in the future require sponsorship for employment visa status (e.g., H-1B visa status)?","Yes"
"I identify my ethnicity as","Some other race, ethnicity, or origin"
"What is your country of citizenship?","Indian"
"Check the box to certify","I certify that the facts set forth in this employment application are true and complete to best of my knowledge. I understand that any falsified statement, misrepresentation, or omission of fact or circumstance on this application shall be considered sufficient cause for disqualification from further consideration for hire or for dismissal."
"Do you have the legal right to work in the United States without current or future employer sponsorship","No"
"Veteran status","I am not a veteran"
"Race","Decline to self-identify"
"How many years of professional experience do you have with Ruby on Rails?","1-2 years"
"Are you currently based in a location where Scribd is able to employ you? Employees must have their primary residence in: Arizona, California, Colorado, Connecticut, DC, Florida, Georgia, Hawaii, Maryland, Massachusetts, Michigan, Missouri, New Jersey, New York, Ohio, Oregon, Tennessee, Texas, Utah, Washington, Ontario (Canada), British Columbia (Canada), or Mexico","No - But, I am open to relocating to one."
"Do you identify as a Veteran?","No"
"Work Authorization","I am authorized to work for any employer in the country in which this position is based"
"Do you identify as a person with a disability?","No"
"Do you have experience in building data pipelines? If yes, please describe.","No"
"Please select the gender identity you most closely identify with","Male"
"By submitting your application you agree to the handling of your personal data as described in the applicant privacy notice: https://woven.toyota/en/applicant-privacy-notice","I acknowledge"
"Do you now or in the future require visa sponsorship?","Yes,I will require sponsorship"
"Do you have commercial experience in the Translation and Localization industry?","No"
"Sponsorship: Do you require sponsorship, or will you require sponsorship in the future for employment authorization in the United States?","No, I do not require sponsorship for employment authorization in the United States."
"Export Control and Compliance: For the sole purpose of determining export licensing requirements, please list any countries of which you are a citizen or legal permanent resident, and when you obtained such status.","India (Citizen), obtained by birth"
"Will you now or in the future require Plaid to provide immigration-related support or sponsorship in order to employ you?","No"
"Have you ever been previously employed by Plaid, Quovo or Cognito?","No"
